"","frtn","rf"
"1989-03-08",-0.0003460687,0.0003416667
"1989-03-09",-0.003392647,0.0003436508
"1989-03-10",0.008475754,0.0003468254
"1989-03-13",-0.0004822265,0.000347619
"1989-03-14",0.005307051,0.0003452381
"1989-03-15",0.009529686,0.0003440476
"1989-03-16",-0.02241087,0.0003452381
"1989-03-17",-0.009308788,0.0003511905
"1989-03-20",0.004978613,0.000356746
"1989-03-21",-0.002721183,0.0003607143
"1989-03-22",-0.005037431,0.0003575397
"1989-03-23",0.005625483,0.0003587302
"1989-03-27",0.003636109,0.0003611111
"1989-03-28",0.002786874,0.0003599206
"1989-03-29",0.0006947822,0.0003555556
"1989-03-30",0.008192738,0.0003551587
"1989-03-31",0.005302665,0.0003531746
"1989-04-03",-0.003493629,0.00035
"1989-04-04",0.003299649,0.0003496032
"1989-04-05",-0.003083248,0.00035
"1989-04-06",0.006460481,0.0003507937
"1989-04-07",0,0.0003492063
"1989-04-10",0.004780115,0.0003464286
"1989-04-11",0.001834987,0.0003444444
"1989-04-12",-0.008547588,0.0003436508
"1989-04-13",0.01690044,0.0003480159
"1989-04-14",0.001345714,0.0003416667
"1989-04-17",0.01437979,0.0003416667
"1989-04-18",0.003842077,0.0003345238
"1989-04-19",-0.002969513,0.0003345238
"1989-04-20",0.01131776,0.0003428571
"1989-04-21",-0.002879581,0.0003428571
"1989-04-24",-0.006103964,0.0003440476
"1989-04-25",0.0007264082,0.0003424603
"1989-04-26",0.008776561,0.0003384921
"1989-04-27",0.0003270753,0.0003337302
"1989-04-28",-0.001569448,0.0003337302
"1989-05-01",-0.003078334,0.0003420635
"1989-05-02",0.0002627948,0.0003404762
"1989-05-03",-0.001116585,0.0003384921
"1989-05-04",-0.0003945292,0.0003384921
"1989-05-05",-0.005065123,0.0003345238
"1989-05-08",-0.002512397,0.0003369048
"1989-05-09",0.002121031,0.0003373016
"1989-05-10",0.003902374,0.0003380952
"1989-05-11",0.0225985,0.000334127
"1989-05-12",0.007538174,0.0003257937
"1989-05-15",-0.002621819,0.0003269841
"1989-05-16",0.007116753,0.0003265873
"1989-05-17",0.001655208,0.0003285714
"1989-05-18",0.01042329,0.0003325397
"1989-05-19",0.002453139,0.0003313492
"1989-05-22",-0.01123172,0.0003301587
"1989-05-23",0.002728773,0.0003285714
"1989-05-24",0.0001898614,0.0003321429
"1989-05-25",0.007719565,0.0003388889
"1989-05-26",-0.00772322,0.0003380952
"1989-05-30",0.004745934,0.0003404762
"1989-05-31",0.004660537,0.0003416667
"1989-06-01",0.01115848,0.0003416667
"1989-06-02",-0.01060136,0.000331746
"1989-06-05",0.007017984,0.0003277778
"1989-06-06",0.008462448,0.0003238095
"1989-06-07",-0.0004319121,0.0003230159
"1989-06-08",-6.17284e-05,0.0003222222
"1989-06-09",-0.001234644,0.0003261905
"1989-06-12",-0.007046171,0.000325
"1989-06-13",-0.0001244942,0.0003238095
"1989-06-14",-0.01139264,0.0003222222
"1989-06-15",0.004093199,0.0003210317
"1989-06-16",0.001818752,0.0003230159
"1989-06-19",-0.001878052,0.0003234127
"1989-06-20",-0.002257903,0.0003234127
"1989-06-21",0.005908977,0.000322619
"1989-06-22",0.01774778,0.0003234127
"1989-06-23",-0.004113963,0.0003194444
"1989-06-26",0.005734016,0.0003214286
"1989-06-27",-0.007846984,0.0003194444
"1989-06-28",-0.01872219,0.0003190476
"1989-06-29",-0.005163403,0.0003154762
"1989-06-30",0.004114184,0.0003170635
